Genre,Length,Theme,Title
Pabula,Long,Kabayanihan,Tiyo Tigre at Tiyo Kuneho
Kwentong Bayan,Long,Katapatan,"Ang Lalaki, ang Bata, at ang Asno"
Pabula,Long,Katapatan,Ang Dalawang Aso ng Mangangaso
Pabula,Long,Pagkakaibigan,Ang Kabayo at Kalabaw
Kwentong Bayan,Long,Pagkakaibigan,Ang Dalawang Magkaibigan at ang Oso
Pabula,Short,Kabayanihan,Pabula ng Mindanao
Pabula,Long,Katapatan,Ang Agila at Maya
Pabula,Long,Pagkakaibigan,Ang Buwaya at ang Pabo
Pabula,Long,Katapatan,Ang Gorilya at ang Alitaptap
Pabula,Long,Kasipagan,Ang Inahing Manok at Ang Kanyang Sisiw
Pabula,Long,Kabayanihan,Ang Madaldal na Pagong
Pabula,Long,Matulungin,Ang Mag-Anak na Langgam
Pabula,Long,Pagkakaibigan,Ang Magkapitbahay na Kambing at Kalabaw
Pabula,Long,Katapatan,Ang Masamang Kalahi
Pabula,Long,Kasipagan,Ang Palaka at Kalabaw
Alamat,Long,Matulungin,Saan Nanggaling ang Punong Papaya?
Kwentong Bayan,Long,Kabayanihan,Sa Lanaw at Kotabato
Alamat,Long,Pagkakaibigan,Ang Unang Sampaguita
Alamat,Long,Katapatan,Ang Puso ng mga Dalaga
Alamat,Long,Kasipagan,Ang Alamat ng Bigas
Alamat,Long,Katapatan,Ang Alamat ng Kasoy
Alamat,Long,Kabayanihan,Ang Alamat ng Sampalok
Alamat,Long,Matulungin,Ang Alamat ng Makopa
Alamat,Long,Pagkakaibigan,Alamat ng Paruparo
Alamat,Long,Kasipagan,Alamat ng Mangga
Alamat,Long,Katapatan,Alamat ng Butiki
Alamat,Long,Matulungin,Alamat ng Anay
Alamat,Long,Kabayanihan,Alamat ng Luha
Alamat,Long,Pagkakaibigan,Alamat ng Langgam
Alamat,Long,Kasipagan,Alamat ng Daliri
Pabula,Long,Kabayanihan,"Bakit laging nag aaway ang Aso, Pusa, at Daga?"
Kwentong Bayan,Long,Pagkakaibigan,Ang Sapatero at ang mga Duwende
Kwentong Bayan,Long,Matulungin,Ang Mag-Asawang walang Anak
Alamat,Long,Katapatan,Alamat ng Durian
Alamat,Long,Kasipagan,Alamat ng Ahas
Alamat,Long,Matulungin,Saan Nanggaling ang Unang Ahas?
Pabula,Long,Kabayanihan,Ang Lobo at ang Kambing
Alamat,Long,Pagkakaibigan,Alamat ng Lansones
Pabula,Short,Katapatan,Bakit Dinadagit ng Lawin ang mga Sisiw?
Alamat,Long,Kasipagan,Alamat ng Bulkang Mayon
Alamat,Long,Kabayanihan,Alamat ng Saging
Alamat,Long,Matulungin,Alamat ng Aso
Pabula,Long,Pagkakaibigan,Ang Punong Kawayan
Alamat,Long,Katapatan,Alamat ng Ampalaya
Alamat,Long,Kasipagan,Alamat ng Lapis
Pabula,Long,Matulungin,Ang Ipis at Pusa
Alamat,Long,Kabayanihan,Ang Alamat ng Bahaghari
Alamat,Long,Pagkakaibigan,Alamat ng Pabo
Kwentong Bayan,Long,Katapatan,Juan Tamad
Pabula,Long,Kasipagan,Ang Uwak at ang Gintong Butil
Kwentong Bayan,Long,Katapatan,Ang Pamana ni Lola Rosa
Alamat,Long,Kabayanihan,Alamat ng Salamin
Pabula,Long,Matulungin,Ang Daga at ang Leon
Alamat,Long,Pagkakaibigan,Alamat ng Espada
Pabula,Long,Kasipagan,Ang Unggoy at ang Buwaya
Alamat,Long,Katapatan,Alamat ng Hangin
Pabula,Long,Matulungin,Ang Isda at ang Pagong
Kwentong Bayan,Long,Kabayanihan,Ang Hiyas ng Bundok
Alamat,Long,Pagkakaibigan,Ang Alamat ng Pusong Bato
Kwentong Bayan,Long,Kasipagan,Ang Pag-ibig sa Liwanag ng Buwan
Alamat,Long,Matulungin,Ang Alamat ng Pinya
Alamat,Long,Kabayanihan,Ang Alamat ng Makahiya
Alamat,Long,Pagkakaibigan,Alamat: Bakit Mahaba ang Tainga ng Kuneho?
Pabula,Long,Kasipagan,Si Langgam at si Tipaklong
Pabula,Long,Kabayanihan,Si Kuneho at si Pagong
Pabula,Short,Pagkakaibigan,Ang Aso at ang Uwak
Alamat,Long,Matulungin,Bakit may Pulang Palong ang mga Tandang?
Kwentong Bayan,Long,Katapatan,Si Mariang Mapangarapin
Pabula,Long,Kasipagan,Ang Kalabasa at ang Duhat
Alamat,Long,Matulungin,Bakit Kayumanggi ang mga Pilipino?
Pabula,Long,Kabayanihan,Ang Tatlong Biik
Alamat,Long,Pagkakaibigan,Alamat ng Palay
Alamat,Long,Katapatan,Alamat ng Sibuyas
Alamat,Long,Kasipagan,Alamat ng Bayabas
Alamat,Long,Kabayanihan,Alamat ng Rosas
Alamat,Long,Matulungin,Alamat ng Bulkan Taal
Alamat,Long,Pagkakaibigan,Alamat ng Ilang-ilang
Alamat,Long,Katapatan,Ang Alamat ng Kwago
Alamat,Long,Kasipagan,Alamat ng Ibong Maya
Alamat,Long,Matulungin,Ang Kasaysayan Ng Pasko
